url,title,content
https://indiankanoon.org/doc/367586/,"Article 14 in Constitution of India
          
  

  
     [Constitution]","14. Equality before law The State shall not deny to any person equality before the law or the equal protection of the laws within the territory of India. Editorial Comment -Article 14 rejects any type of discrimination based on caste, race, and religion, place of birth or sex. This Article is having a wide ambit and applicability to safeguard the rights of people residing in India. This article is divided into two parts: Equality before the Law: This part of the article indicates that all are to be treated equally in the eyes of the law. This is a negative concept as it implies the absence of any privilege in favor of any person. This is a substantive part of the article. Equal protection of the Laws: This part means that the same law will be applied to all the people equally across the society. This is a positive concept as it expects a positive action from the state. This is a procedural part of article 14. “The dissent of Justice Subba Rao in the State of U.P. v. Deoman Upadhyaya 1960 stated that Article 14 comprises both “positive content” as well as “negative content”. Whereas, equality before the law is a negative content, equal protection of the laws exhibits a positive content of Article 14.” The doctrine of Anti Arbitrariness:  The scope of article 14 was drastically increased by the Supreme Court by including the executive discretion under its ambit. In the case of E.P. Royappa v. State of Tamil Nadu , 1974, the court said that Article 14 gives a guarantee against the arbitrary actions of the State. The Right to Equality is against arbitrariness. They both are enemies to each other. So it is important to protect the laws from the arbitrary actions of the Executive. “The first landmark judgment which actually spotted the virtue of non-arbitrariness in Article 14 was S.G. Jaisinghani v. Union of India . The Court, for the first time held “absence of arbitrary power” as sine qua non to rule of law with confined and defined discretion, both of which are essential facets of Article 14.” In here Justice Subba Rao elaborating on the wide expanse of Article 14 , vide para 14 held thus: “In this context it is important to emphasize that the absence of arbitrary power is the first essential of the rule of law upon which our whole constitutional system is based. In a system governed by rule of law, discretion, when conferred upon executive authorities, must be confined within clearly defined limits.” In the Maneka Gandhi v. Union of India, 1978,  Justice Bhagwati said that Equality is against the arbitrariness of State action. So this doctrine ensures equality of treatment. “The seven-Judge Bench held that a trinity exists between Article 14, Article 19 and Article 21. All these articles have to be read together. Any law interfering with personal liberty of a person must satisfy a triple test: (i) it must prescribe a procedure; (ii) the procedure must withstand the test of one or more of the fundamental rights conferred under Article 19 which may be applicable in a given situation; and (iii) it must also be liable to be tested with reference to Article 14.” Natural Justice as a part of Article 14: From the case of A.K. Kraipak v. Union of India , It is evident that Natural Justice (natural justice is technical terminology for the rule against bias and the right to a fair hearing (audi alteram partem)) is an integral part of Article 14.  The court held that “the Principle of Natural Justice helps in the prevention of miscarriage of Justice, These Principles also check the arbitrary power of the State.” Classification Test: In the case of Ram Krishna Dalmia v. Justice Tendolkar, 1958 the Supreme Court describes the jurisprudence of equality before the law. It simply permits the State to make differential classification of subjects (which would otherwise be prohibited by Article 14) provided that the classification is founded on intelligible differentia (i.e. objects within the class are clearly distinguishable from those that are outside) and has a rational nexus with the objective sought to be achieved by the classification. In the case of Indra Sawhney v UOI, 1993 which is a landmark judgment on aspects of reservation in India. “The Court interpreted the relation between Article 14 and Article 16. It was held that Article 16(1) is a facet of Article 14. Just as Article 14 permits reasonable classification, so does Article 16(1). A classification may involve reservation of seats or vacancies. The principle aims of Article 14 and 16 is equality and equality of opportunity and Clause (4) of Article 16 is a means of achieving the very same objective. Both the provisions have to be harmonized keeping in mind the fact that both are the restatements of the principle of equality enshrined in Article 14.” Further expansion of Article 14 was done in the case of Visakha v State of Rajasthan, 1997 “The judgment sought to enforce the fundamental rights of working women under Articles 14, 19 and 21 of the Constitution of India. Sexual Harassment violates the fundamental right of the women of gender equality which is codified under Article 14 of Indian Constitution and also the fundamental right to life and to live a dignified life. The Court held that even though there is no express provision for sexual harassment at workplace under Indian Constitution, it is implicit through these fundamental rights.” (references mentioned below) Expansion of Article 14 in terms of defining Gender: In the case of National Legal Service Authority [NALSA] v UOI, 2014 . “This case was filed by the National Legal Services Authority of India (NALSA) to legally recognize persons who fall outside the male/female gender binary, including persons who identify as “third gender”. While drawing attention to the fact that transgender persons were subject to “extreme discrimination in all spheres of society”, the Court held that the right to equality (Article 14 of the Constitution) was framed in gender-neutral terms (“all persons”). Consequently, the right to equality would extend to transgender persons also.” Further in Shayara Bano v UOI, 2016 “the 5 Judge Bench of the Supreme Court pronounced its decision in the Triple Talaq Case, declaring that the practice of instantaneous triple talaq [Talaq-ul-biddat] was unconstitutional. The Bench observed that the fundamental right to equality guaranteed under Article 14 of the Constitution, manifested within its fold, equality of status. Gender equality, gender equity and gender justice are values intrinsically entwined in the guarantee of equality, under Article 14.” These above discussed landmark cases and many more have contributed to expand the ambit and scope of Article 14 of the Constitution of India, to strive for a more equal and fair society. References SCC online Blog Ipleaders Wikipedia Legal Service India Equality Human Rights"
https://indiankanoon.org/doc/1456610/,"Article 2 in Constitution of India
          
  

  
     [Constitution]","2. Admission or establishment of new States Parliament may by law admit into the Union, or establish, new States on such terms and conditions, as it thinks fit."
https://indiankanoon.org/doc/1659104/,"Article 3 in Constitution of India
          
  

  
     [Constitution]","3. Formation of new States and alteration of areas, boundaries or names of existing States Parliament may by law- (a) Form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State; (b) increase the area of any State; (c) diminish the area of any State; (d) alter the boundaries of any State; (e) alter the name of any State; Provided that no Bill for the purpose shall be introduced in either House of Parliament except on the recommendation of the President and unless, where the proposal contained in the B ill affects the area, boundaries or name of any of the States , the Bill has been referred by the President to the Legislature of that State for expressing its views thereon within such period as may be specified in the reference or within such further period as the President may allow and the period so specified or allowed has expired. [In article 3 of the Constitution, for the proviso, the following proviso shall be substituted through Constitution (Fifth Amendment) Act, 1955] [ Editorial Comment - The Constitution (Fifth Amendment) Act, 1955, which attempted to modify Article 3 of the Indian Constitution. then-President Rajendra Prasad gave his approval to the bill, which was then published in The Gazette of India on December 26, 1955. Originally, Article 3, did not prescribe a time limit for expression of views by the States on the States reorganization laws. It was feared that the States could forestall the passage of the State Reorganisation Act by not expressing their views for any length of time. The amended Article now provides a time limit within which the State has to express their views. If they do not express their views within the specified time the Bill may be passed by Parliament. Important Verdict: Babulal Parate vs The State Of Bombay And Another & Also Refer ] Explanation I.- In this article, in clauses (a) to (e), ""State"" includes a Union territory, but in the proviso, ""State"" does not include a Union territory. Explanation II.- The power conferred on Parliament by clause (a) includes the power to form a new State or Union territory by uniting a part of any State or Union territory to any other State or Union territory. [ Editorial Comment - The Constitution (Eighteenth Amendment) Act, 1966, revised Article 3 of the Constitution to give new meaning to the terms “State” and “Union territories”. The modification clarified that in Article 3, the term “State” in clauses (a) to (e) must include “Union territories”. However, this was not applicable in the proviso. It further explained that the power under clause (a) involves the authority of the Parliament for the formation of a new State or Union territory. This may be done by joining a part of any State or Union territory with some other State or Union territory. Also refer ]"
https://indiankanoon.org/doc/1015123/,"Article 4 in Constitution of India
          
  

  
     [Constitution]","4. Laws made under articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental, incidental and consequential matters (1) Any law referred to in article 2 or article 3 shall contain such provisions for the amendment of the First Schedule and the Fourth Schedule as may be necessary to give effect to the provisions of the law and may also contain such supplemental, incidental and consequential provisions (including provisions as to representation in Parliament and in the Legislature or Legislatures of the State or States affected by such law) as Parliament may deem necessary. (2) No such law as aforesaid shall be deemed to be an amendment of this Constitution for the purposes of article 368."
https://indiankanoon.org/doc/1937835/,"Article 5 in Constitution of India
          
  

  
     [Constitution]","5. Citizenship at the commencement of the Constitution At the commencement of this Constitution every person who has his domicile in the territory of India and— (a) who was born in the territory of India; or (b) either of whose parents was born in the territory of India; or (c) who has been ordinarily resident in the territory of India for not less than five years immediately preceding such commencement, shall be a citizen of India."
https://indiankanoon.org/doc/19636/,"Article 6 in Constitution of India
          
  

  
     [Constitution]","6. Rights of citizenship of certain persons who have migrated to India from Pakistan Notwithstanding anything in article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencement of this Constitution if— (a) he or either of his parents or any of his grand-parents was born in India as defined in the Government of India Act, 1935 (as originally enacted); and (b) (i) in the case where such person has so migrated before the nineteenth day of July, 1948, he has been ordinarily resident in the territory of India since the date of his migration, or (ii) in the case where such person has so migrated on or after the nineteenth day of July, 1948, he has been registered as a citizen of India by an officer appointed in that behalf by the Government of theDominion of India on an application made by him therefore to such officer before the commencement of this Constitution in the form and manner prescribed by that Government: Provided that no person shall be so registered unless he has been resident in the territory of India for at least six months immediately preceding the date of his application."
https://indiankanoon.org/doc/735354/,"Article 7 in Constitution of India
          
  

  
     [Constitution]","7. Rights of citizenship of certain migrants to Pakistan Notwithstanding anything in articles 5 and 6, a person who has after the first day of March, 1947, migrated from the territory of India to the territory now included in Pakistan shall not be deemed to be a citizen of India: Provided that nothing in this article shall apply to a person who, after having so migrated to the territory now included in Pakistan, has returned to the territory of India under a permit for resettlement or permanent return issued by or under the authority of any law and every such person shall for the purposes of clause (b) of article 6 be deemed to have migrated to the territory of India after the nineteenth day of July, 1948."
https://indiankanoon.org/doc/691208/,"Article 8 in Constitution of India
          
  

  
     [Constitution]","8. Rights of citizenship of certain persons of Indian origin residing outside India Notwithstanding anything in article 5, any person who or either of whose parents or any of whose grand-parents was born in India as defined in the Government of India Act, 1935 (as originally enacted), and who is ordinarily residing in any country outside India as so defined shall be deemed to be a citizen of India if he has been registered as a citizen of India by the diplomatic or consular representative of India in the country where he is for the time being residing on an application made by him therefore to such diplomatic or consular representative, whether before or after the commencement of this Constitution, in the form and manner prescribed by the Government of the Dominion of India or the Government of India."
https://indiankanoon.org/doc/260256/,"Article 9 in Constitution of India
          
  

  
     [Constitution]","9. Persons voluntarily acquiring citizenship of a foreign State not to be citizens No person shall be a citizen of India by virtue of article 5, or be deemed to be a citizen of India by virtue of article 6 or article 8, if he has voluntarily acquired the citizenship of any foreign State."
https://indiankanoon.org/doc/492977/,"Article 10 in Constitution of India
          
  

  
     [Constitution]","10. Continuance of the rights of citizenship Every person who is or is deemed to be a citizen of India under any of the foregoing provisions of this Part shall, subject to the provisions of any law that may be made by Parliament, continue to be such citizen."
