query,case_title,case_url
Article 1,"Article 226 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/1712542/
Article 1,"Article 227 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/1331149/
Article 1,"Article 21 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/1199182/
Article 1,"Article 14 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/367586/
Article 1,"Article 19 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/1218090/
Article 1,"Article 22 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/581566/
Article 1,"Section 2 in The Income Tax Act, 1961
          
  

  
     [Entire Act]",https://indiankanoon.org/doc/545792/
Article 1,"Article 300A in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/120077007/
Article 1,"Article 15 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/609295/
Article 1,"Section 197 in The Code of Criminal Procedure, 1973
          
  

  
     [Entire Act]",https://indiankanoon.org/doc/12704/
Article 2,"Article 19 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/1218090/
Article 2,"Article 15 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/609295/
Article 2,"Article 2 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/1456610/
Article 2,"Article 13 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/134715/
Article 2,"Article 31 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/354224/
Article 2,"Article 20 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/655638/
Article 2,"Article 4 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/1015123/
Article 2,"Union Of India And Another vs Tulsiram Patel And Others on 11 July, 1985",https://indiankanoon.org/docfragment/1134697/?formInput=Article%202
Article 2,Constitution of India,https://indiankanoon.org/doc/237570/
